wavelength,mean_reflectance_le_5
449.23756865,10.962867542
449.67063818,10.966974102
450.10369354,10.988953357000002
450.53673472,10.992101197999999
450.9697617,10.996719833
451.40277446,10.986805971999999
451.83577298,10.986659671000002
452.26875725,10.941843688
452.70172723,10.873658586
453.13468291,10.818854742
453.56762428,10.764350214999999
454.00055132,10.734057372999999
454.433464,10.705067015000001
454.8663623,10.691526916
455.29924622,10.689923789
455.73211572,10.697441772999998
456.16497079,10.728730158000001
456.59781142,10.793320994
457.03063757,10.823814586000001
457.46344923,10.874106303
457.89624639,10.927823465
458.32902903,10.952432474
458.76179711,10.966099873000001
459.19455064,10.987804608
459.62728958,11.014737858999998
460.06001392,10.998541482
460.49272363,10.922105141999998
460.92541871,10.892053598999997
461.35809913,10.882901532
461.79076486,10.823260086
462.22341591,10.775945952
462.65605223,10.772378463
463.08867382,10.727085974
463.52128065,10.673740632000001
463.95387271,10.656384785
464.38644998,10.679696577
464.81901243,10.682697102
465.25156005,10.647927136
465.68409283,10.610320475
466.11661073,10.560251935
466.54911374,10.523221556
466.98160185,10.501100682
467.41407503,10.542717132
467.84653327,10.587398521999999
468.27897654,10.642099992999999
468.71140483,10.699749340999999
469.14381811,10.783044878
469.57621637,10.82132951
470.0085996,10.879860570999998
470.44096776,10.922258735000002
470.87332084,10.927656922
471.30565882,10.889561742999998
471.73798169,10.881741131999998
472.17028942,10.843286473
472.602582,10.786110501
473.0348594,10.701923661
473.4671216,10.63658924
473.8993686,10.551080035
474.33160036,10.464796703000001
474.76381687,10.417538154999999
475.19601811,10.377278796
475.62820407,10.369323907999998
476.06037471,10.362959133
476.49253003,10.390799984000001
476.92467,10.404667745000001
477.35679461,10.489694903
477.78890383,10.528662027
478.22099765,10.581851282
478.65307605,10.618999436
479.085139,10.659406445999998
479.5171865,10.68169047
479.94921851,10.705177585000001
480.38123503,10.743127934
480.81323602,10.770387944
481.24522149,10.784543933000002
481.67719139,10.756652936999998
482.10914572,10.741012014999999
482.54108446,10.724833914000001
482.97300758,10.702473458999998
483.40491507,10.675348459
483.83680691,10.639655304
484.26868308,10.611220361
484.70054356,10.555966330999999
485.13238833,10.541701874
485.56421738,10.514205442
485.99603067,10.495057112
486.4278282,10.461736959
486.85960995,10.456127309000001
487.29137589,10.409888642
487.72312601,10.378265023
488.15486029,10.371010945999998
488.5865787,10.417133288999999
489.01828124,10.417544045000001
489.44996788,10.428451939
489.8816386,10.461920419
490.31329338,10.503660206000001
490.7449322,10.526252250000002
491.17655505,10.576136202999999
491.6081619,10.650242976
492.03975274,10.694126561
492.47132755,10.711141794
492.90288631,10.691597591
493.33442899,10.680289318
493.76595559,10.648497209
494.19746607,10.588901077
494.62896043,10.557861775000001
495.06043864,10.535384767999998
495.49190069,10.489380214
495.92334655,10.407867677
496.3547762,10.367334642
496.78618963,10.328100813999999
497.21758682,10.298678202999998
497.64896774,10.268402062000002
498.08033239,10.254977229999998
498.51168074,10.259416331
498.94301276,10.266181741
499.37432845,10.290944792000001
499.80562778,10.336387045
500.23691074,10.401091211999999
500.6681773,10.466460927
501.09942745,10.510389021000002
501.53066116,10.532742806000002
501.96187842,10.526735125
502.39307921,10.523785160000001
502.82426351,10.494789846
503.2554313,10.471176747000001
503.68658256,10.46082513
504.11771727,10.477449245999999
504.54883542,10.484997029999999
504.97993698,10.517173322
505.41102193,10.526015867
505.84209026,10.530466628000003
506.27314195,10.528557068000001
506.70417698,10.538035591
507.13519532,10.530469130999998
507.56619696,10.532545553000002
507.99718189,10.529525897
508.42815007,10.507007868999999
508.8591015,10.47982091
509.29003615,10.425053080000001
509.72095401,10.369668469
510.15185505,10.320549783999999
510.58273926,10.283617222
511.01360661,10.236170153
511.44445709,10.210868978999999
511.87529069,10.184199299
512.30610737,10.167230933999999
512.73690712,10.148067987000001
513.16768992,10.166439768
513.59845576,10.183384509000001
514.02920461,10.236235083
514.45993645,10.27734744
514.89065127,10.322954474
515.32134905,10.363669860999998
515.75202976,10.423659635
516.18269339,10.489278162000002
516.61333992,10.553161586
517.04396933,10.612630408
517.4745816,10.655436370999999
517.90517671,10.678112142999998
518.33575465,10.662910794999998
518.76631539,10.629127006000001
519.19685891,10.589745425999999
519.6273852,10.542008008000002
520.05789424,10.477318042
520.488386,10.410179153
520.91886048,10.358926086
521.34931764,10.305858991
521.77975747,10.249448634999998
522.21017995,10.213227585999999
522.64058507,10.184764967
523.07097279,10.168459540999999
523.50134312,10.144262154
523.93169601,10.150093991
524.36203147,10.159674632
524.79234945,10.185970725
525.22264996,10.185647219
525.65293297,10.211324947999998
526.08319845,10.220021640999999
526.5134464,10.214196018
526.94367678,10.209815768999999
527.37388959,10.210233216999999
527.8040848,10.2086448
528.2342624,10.220117939999998
528.66442236,10.237998842999998
529.09456467,10.251806074
529.5246893,10.288357503
529.95479624,10.314075878999997
530.38488547,10.343182672999998
530.81495697,10.388194299999999
531.24501072,10.415832939000001
531.67504671,10.428386518
532.1050649,10.460083914
532.53506529,10.488245281
532.96504785,10.498529476
533.39501257,10.514936799000001
533.82495942,10.528070437
534.25488839,10.596656413
534.68479946,10.592230986999999
535.11469261,10.591230249999999
535.54456782,10.564416346
535.97442507,10.523481695
536.40426434,10.42040731
536.83408561,10.374445588
537.26388887,10.321829208
537.69367409,10.286955584000001
538.12344125,10.278674094
538.55319035,10.261158372
538.98292135,10.228815845
539.41263423,10.192577427
539.84232899,10.171282065
540.2720056,10.151879955
540.70166404,10.144391166
541.13130429,10.156222836
541.56092633,10.20279968
541.99053015,10.253951780000001
542.42011572,10.292312415999998
542.84968303,10.325301656000002
543.27923205,10.342611465000001
543.70876277,10.365531251
544.13827517,10.375776607999999
544.56776923,10.402029059999998
544.99724493,10.446916072
545.42670225,10.502442664
545.85614117,10.517574653999999
546.28556168,10.523080341
546.71496375,10.508976199999998
547.14434736,10.465719973999999
547.5737125,10.426936083000001
548.00305915,10.393648682
548.43238728,10.368416604
548.86169688,10.362885555999998
549.29098794,10.371262383
549.72026042,10.359705117999999
550.14951431,10.356373472000001
550.5787496,10.346331405
551.00796626,10.344776441
551.43716427,10.314831855
551.86634362,10.310634872999998
552.29550429,10.314994860999999
552.72464625,10.327246367
553.15376949,10.301908914000002
553.58287399,10.312676424
554.01195973,10.312025191
554.44102669,10.285778064000002
554.87007485,10.281111505999998
555.29910419,10.276710158
555.7281147,10.247763711
556.15710635,10.230391771
556.58607912,10.213544135000003
557.015033,10.167983009
557.44396797,10.144244302
557.87288401,10.123384677
558.3017811,10.105082133
558.73065921,10.116533629000001
559.15951834,10.131396096
559.58835846,10.147892241
560.01717955,10.191610931
560.4459816,10.223274822
560.87476458,10.243831285999999
561.30352847,10.289114326
561.73227326,10.33040096
562.16099893,10.36705518
562.58970546,10.418151971
563.01839282,10.477568506
563.44706101,10.506338938999999
563.87571,10.539886695
564.30433977,10.556539703
564.7329503,10.541153399
565.16154157,10.505349783
565.59011358,10.478578172999999
566.01866628,10.429518638999998
566.44719967,10.347236915000002
566.87571373,10.295238977
567.30420844,10.276522418999999
567.73268378,10.228630038000002
568.16113973,10.202888151
568.58957627,10.218940609
569.01799338,10.219451998
569.44639105,10.200655752
569.87476924,10.200995382999999
570.30312796,10.194816520999998
570.73146717,10.196287478
571.15978685,10.205439156999999
571.588087,10.232892496999998
572.01636758,10.269827764999999
572.44462858,10.302272482000001
572.87286998,10.335934897
573.30109177,10.361605092000001
573.72929391,10.369448092
574.1574764,10.384091123
574.58563922,10.406952858
575.01378234,10.434894351999999
575.44190574,10.454166387000003
575.87000941,10.475885944000002
576.29809333,10.478188863000002
576.72615748,10.483248741
577.15420184,10.474238694
577.58222639,10.479858810999998
578.01023111,10.472662391
578.43821598,10.470439445999999
578.86618099,10.460136718
579.29412611,10.439981139
579.72205133,10.406839678
580.14995662,10.372149548
580.57784197,10.358921082999998
581.00570736,10.369668643
581.43355276,10.393266455
581.86137817,10.439570872
582.28918356,10.485565876999999
582.7169689,10.509760242000002
583.1447342,10.509192727000002
583.57247941,10.474959757000002
584.00020453,10.448858435000002
584.42790954,10.423661120000002
584.85559441,10.417804655000001
585.28325913,10.399228375
585.71090368,10.422423026
586.13852803,10.400538291
586.56613218,10.389990354999998
586.9937161,10.355190804
587.42127977,10.340907554
587.84882317,10.310383858
588.27634629,10.295944377
588.7038491,10.269713563000002
589.13133159,10.255459428
589.55879373,10.212895881
589.98623551,10.163526463
590.41365691,10.110156666
590.84105791,10.074378793
591.26843849,10.06472105
591.69579863,10.096856165
592.12313831,10.132645585
592.55045752,10.192459672999998
592.97775623,10.254391538000002
593.40503442,10.303985157
593.83229208,10.31559686
594.25952919,10.341398253
594.68674573,10.363080927999999
