wavelength,mean_reflectance_gt_5
688.98433899,15.759619087999999
689.40649153,15.761064201
689.82861923,15.771649943999998
690.25072206,15.774254008
690.67280001,15.766056949
691.09485305,15.758969930000001
691.51688118,15.739897020999999
691.93888436,15.707505645000001
692.36086259,15.695713506999999
692.78281583,15.688216678999998
693.20474408,15.667847733999997
693.62664732,15.656678241
694.04852552,15.646624904000001
694.47037866,15.619240607
694.89220673,15.576247848
695.31400971,15.541162102000001
695.73578757,15.507904924000002
696.15754031,15.472595759999999
696.57926789,15.442183599999998
697.00097031,15.407527005
697.42264753,15.386806428
697.84429955,15.371208606
698.26592635,15.350484369000004
698.6875279,15.335661339999998
699.10910418,15.325100523999998
699.53065518,15.302254794000001
699.95218088,15.277466802000001
700.37368126,15.252570694
700.7951563,15.242391928999998
701.21660597,15.240126432999997
701.63803027,15.233224726
702.05942917,15.242396123999999
702.48080265,15.266863896999999
702.9021507,15.285839526999998
703.32347329,15.297805474
703.74477041,15.302418022000001
704.16604204,15.309075155999997
704.58728815,15.306985047999998
705.00850873,15.308026995000002
705.42970376,15.321351646999997
705.85087322,15.352418776999997
706.2720171,15.367673994000004
706.69313536,15.388747688
707.114228,15.414021111
707.53529499,15.427812294
707.95633632,15.436034597999997
708.37735196,15.461296882
708.7983419,15.486899110000001
709.21930612,15.506148152000003
709.6402446,15.540654522
710.06115731,15.583980510999998
710.48204425,15.606704775999997
710.90290539,15.622508788
711.32374071,15.632722703000002
711.7445502,15.650748909999999
712.16533383,15.647489057000001
712.58609158,15.640274377
713.00682344,15.649641613999998
713.42752939,15.647158110000001
713.84820941,15.645721927
714.26886347,15.629266578
714.68949157,15.628023085999999
715.11009368,15.610808879
715.53066977,15.596343328
715.95121984,15.57579838
716.37174387,15.558211507
716.79224183,15.527621858999998
717.2127137,15.510375476000002
717.63315947,15.485615516000001
718.05357912,15.44368379
718.47397263,15.411513440000002
718.89433997,15.376422709000002
719.31468114,15.316593179999998
719.7349961,15.263324942
720.15528485,15.213503696
720.57554736,15.171496721
720.99578362,15.123439121
721.4159936,15.095152635
721.83617729,15.073696970000004
722.25633466,15.066424799
722.6764657,15.045655447000001
723.09657039,15.043071165
723.51664871,15.027235169000003
723.93670063,14.99494138
724.35672615,14.966029738
724.77672524,14.953600624
725.19669789,14.92935461
725.61664407,14.907531870000003
726.03656376,14.882218733000002
726.45645695,14.870994518000003
726.87632362,14.860953069999999
727.29616374,14.871817303
727.7159773,14.889137129000002
728.13576429,14.92886934
728.55552467,14.92907017
728.97525843,14.930469417000001
729.39496556,14.929542777999998
729.81464603,14.936168609000001
730.23429983,14.934202819000001
730.65392692,14.942043905
731.07352731,14.956313576000003
731.49310096,14.953900978000002
731.91264786,14.942832470000003
732.33216799,14.948394483000001
732.75166133,14.982956345
733.17112786,14.999583260999998
733.59056756,15.027657354999999
734.00998042,15.058616559
734.4293664,15.086239252999999
734.8487255,15.093432654999997
735.2680577,15.126326168999999
735.68736298,15.150038509999998
736.10664131,15.190529845999999
736.52589267,15.224222006
736.94511706,15.267464014000002
737.36431445,15.295627886
737.78348482,15.329065314000001
738.20262815,15.333786855
738.62174442,15.345680362999996
739.04083362,15.343213213999999
739.45989572,15.339530106999998
739.87893071,15.320900817
740.29793856,15.303122675999997
740.71691926,15.302120591
741.13587279,15.295005865999997
741.55479913,15.291635228
741.97369826,15.273656984000002
742.39257016,15.277085592
742.81141481,15.242262581999999
743.23023219,15.229276033999998
743.64902229,15.182595519
744.06778508,15.180113639999998
744.48652055,15.161657625999998
744.90522868,15.160108398999999
745.32390944,15.127630359
745.74256282,15.142926184999999
746.1611888,15.118823498999996
746.57978736,15.108173041
746.99835849,15.090521135999998
747.41690215,15.085609548000003
747.83541834,15.050399888000001
748.25390703,15.046461008999998
748.67236821,15.018398838
749.09080185,14.992256266999998
749.50920794,14.959875510000003
749.92758646,14.935860923000002
750.34593739,14.879786477000001
750.7642607,14.85704058
751.18255639,14.818919324999996
751.60082443,14.796762783999998
752.0190648,14.752095481000001
752.43727748,14.736547978
752.85546246,14.697094393000004
753.27361971,14.674064109
753.69174922,14.639566413000002
754.10985097,14.634713865999998
754.52792493,14.628299703
754.94597109,14.613668282
755.36398944,14.591366587
755.78197994,14.569082534999998
756.19994258,14.541313440000001
756.61787735,14.497545398
757.03578422,14.464913393999998
757.45366318,14.446784629000001
757.8715142,14.425966397
758.28933727,14.421282904
758.70713236,14.442310366000001
759.12489946,14.448504029
759.54263856,14.462685374999998
759.96034962,14.505448972
760.37803263,14.522865948999998
760.79568758,14.537746131000002
761.21331443,14.574132611
761.63091318,14.611388709000002
762.04848381,14.640342846000001
762.46602629,14.678092700000002
762.88354061,14.715336238999999
763.30102674,14.756972843
763.71848468,14.787871462000002
764.13591439,14.814662508999998
764.55331586,14.866012519999998
764.97068908,14.916359925
765.38803401,14.932276126
765.80535065,14.977540315999999
766.22263898,15.017667092
766.63989896,15.030687247
767.0571306,15.036663275999999
767.47433386,15.099817957000003
767.89150873,15.118143462
768.30865518,15.128032524
768.72577321,15.145075549000001
769.14286278,15.172028135
